TEX10	INVS	ERP44	STX17
CDKN2A	CDKN2B	RP11-145E5.5
ALDH1B1	IGFBPL1
NEK10	SLC4A7
CACNA1D
ULK4	TRAK1
MECOM
TGFBR2	GADL1
PARP15	HSPBAP1	PARP9	DIRC2	DTX3L	PARP14
WWTR1	TM4SF1	TM4SF4
SLC9A9
C3orf56
PLD1	FNDC3B	TMEM212
PARVB	SAMM50	PARVG
FAM149A	KLKB1	F11	CYP4V2
FGF5	C4orf22	PRDM8
STK32B
TDO2	ASIC5	GUCY1B3	GUCY1A3
ADH1B	ADH7	ADH1C	ADH1A
BMPR1B
SLC39A8
C4orf50	JAKMIP1
EMCN	PPP3CA
AP1AR	TIFA	ALPK1	C4orf32
NOV
ZFAT
LZTS1
TNKS	MSRA
C2CD2	UMODL1
RUNX1
TIAM1	KRTAP19-8
IGSF5	PCP4	B3GALT5
TUBB1	ZNF831	CTSZ	ATP5E	GNAS
C20orf187
ADRA1D	SMOX
FERMT1	TRMT6	CRLS1	CHGB	MCM8	LRRN4	C20orf196
MACROD2
MYO1D	CDK5R1	PSMD11
C17orf78	DDX52	TADA2A	DUSP14	HNF1B	SYNRG	ACACA
ALDH1A2
NR2F2
PRC1	MAN2A2	FURIN	UNC45A	HDDC3	RCCD1	BLM	VPS33B	FES
RGMA	CHD2
EDC3	FAM219B	COX5A	CSK	SCAMP2	LMAN1L	SCAMP5	RPP25	CYP1A2	MPI	CPLX3	ULK3	CYP1A1
WBSCR17
TFR2	EPO	EPHB4	MOSPD3	PCOLCE	GNB2	MUC12	VGF	TRIP6	ZAN	TRIM56	SRRT	LRCH4	UFSP1	SAP25	MUC3A	MUC17	FBXO24	SLC12A9	GIGYF1	AP1S1	NAT16	ACTL6B	MOGAT3	AGFG2	SERPINE1	POP7	ACHE
FSCN3	ZNF800	ARF5	SND1	PAX4	GCC1
LMAN2	DBN1	PDLIM7	SLC34A1	F12	PFN3	GRK6	DDX41	DOK3	PRR7	RGS14	MXD3
SV2C
RAD1	BRIX1	DNAJC21	AGXT2	TTC23L	PRLR	RAI14
NPR3
FSTL4
TMEM167A	XRCC4
RANBP3L
ANO6
SH2B3	FAM109A	CUX2	ATXN2
ATP2B1	POC1B	POC1B-GALNT4	GALNT4
LYZ	FRS2	CPSF6	YEATS4
STAB2	C12orf73	HSP90B1	NFYB	TDG	HCFC2	RP11-650K20.3	NT5DC3	GLT8D2
PTPN11	TRAFD1	NAA25	HECTD4	RPL6
FGF14
FBXL3	CLN5	MYCBP2
LHFP
RNF5	C4B	ZBTB12	CFB	SLC44A4	EHMT2	HSPA1A	C6orf10	FKBPL	C2	AGPAT1	CYP21A2	NOTCH4	PBX2	SKIV2L	C6orf48	AGER	NEU1	GPSM3	EGFL8	HSPA1B	STK19	LSM2	TNXB	HSPA1L	ATF6B	AL645922.1	PPT2	C4A	PRRT1
EDN1
ADAT2	AIG1	FUCA2	PEX3
HIST1H2BH	HIST1H2AD	HIST1H4C	HIST1H3C	HIST1H2BI	HIST1H2BE	HIST1H2AB	HIST1H2AC	HIST1H4F	HIST1H2BB	HIST1H2BC	HIST1H4B	HIST1H4H	SLC17A1	HIST1H1D	HIST1H3G	HFE	HIST1H2BD	HIST1H1T	HIST1H4G	HIST1H3D	HIST1H2AE	SLC17A2	HIST1H3B	SLC17A3	HIST1H1A	HIST1H2BG	HIST1H3F	HIST1H4D	HIST1H1C	HIST1H4A	HIST1H3A	TRIM38	SLC17A4	HIST1H3E	HIST1H2BF	HIST1H4E	HIST1H1E
OPRM1	IPCEF1
EYA4
SENP6	IMPG1	MYO6
KCNH1
MOV10	FAM19A3	PPM1J	RHOC	CTTNBP2NL	WNT2B	CAPZA1	ST7L
CASZ1
RD3	SLC30A1
PRRX1	GORAB
ARTN	ST3GAL3	ATP6V0B	KDM4A	DPH2	CCDC24	PTPRF	B4GALT2	SLC6A9	IPO13
LRRC7
CHRM3
ADM	AMPD3	SBF2
PIK3C2A	RPS13	C11orf58	SOX6	PLEKHA7
MAML2
GRAMD1B
MRE11A	FUT4	ANKRD49	GPR83	PIWIL4
MPZL3	TMPRSS4	SCN2B	MPZL2	SCN4B
ARHGAP42
STK39
KCNS3
EPB41L5	TMEM185B	TMEM177	RALB	PTPN4
KLHL29	ATAD2B
TMEM178A
GPR45	FHL2	C2orf49	TGFBRAP1
GPR39
ACSM5	PDILT	UMOD	ACSM2A	GP2
CDH13
SYT17	TMC7	COQ7	CTD-2349B8.1	SMG1	ITPRIPL2
CALHM2	ARL3	CALHM1	PDCD11	USMG5	AS3MT	TAF5	CNNM2	SUFU	SFXN2	CALHM3	TRIM8	WBP1L	PCGF6	NT5C2	CYP17A1	INA
CACNB2	NSUN6	SLC39A12
BAMBI
SLK	SFR1	COL17A1
PLCE1
APBB1IP
IDI2	IDI1	LARP4B	GTPBP4	WDR37	ADARB2
PFKFB3	RBM17
